miRNA,advanced adenoma plasma EV 1,advanced adenoma plasma EV 2,advanced adenoma plasma EV 3,advanced adenoma plasma EV 4,advanced adenoma plasma EV 5,advanced adenoma plasma EV 6,colorectal cacer  plasma EV 1,colorectal cacer  plasma EV 2,colorectal cacer  plasma EV 3,colorectal cacer  plasma EV 4,colorectal cacer  plasma EV 5,colorectal cacer  plasma EV 6,healthy donor plasma EV  1,healthy donor plasma EV  2,healthy donor plasma EV  3,healthy donor plasma EV  4,healthy donor plasma EV  5,healthy donor plasma EV  6
hsa-let-7a-5p,20352.0,50386.0,5512.0,45354.0,17859.0,57602.0,2270.0,12413.0,39404.0,15541.0,41191.0,209730.0,36176.0,43326.0,21820.0,19963.0,33538.0,3372.0
hsa-let-7c-5p,1208.0,4332.0,399.0,3010.0,786.0,3634.0,53.0,690.0,1205.0,774.0,2803.0,1340.0,2807.0,3767.0,1413.0,1340.0,2504.0,153.0
hsa-let-7e-5p,439.0,646.0,194.0,568.0,215.0,1431.0,13.0,261.0,410.0,463.0,1109.0,2406.0,666.0,954.0,342.0,527.0,491.0,29.0
hsa-let-7f-5p,2955.0,8517.0,761.0,7551.0,1788.0,7080.0,1695.0,1692.0,4693.0,1559.0,4588.0,88569.0,7319.0,9026.0,6832.0,2656.0,5977.0,1517.0
hsa-let-7g-5p,2505.0,14454.0,1201.0,11817.0,2198.0,4189.0,1000.0,1863.0,7849.0,2524.0,7208.0,30297.0,6745.0,5935.0,2920.0,4728.0,14714.0,1000.0
hsa-let-7i-5p,17954.0,289383.0,15420.0,431443.0,45496.0,28547.0,1040.0,17401.0,101345.0,18986.0,58585.0,134659.0,61843.0,68971.0,49531.0,51845.0,130776.0,1961.0
hsa-miR-1-3p,18.0,18.0,7.0,142.0,18.0,14.0,3.0,19.0,4.0,253.0,1533.0,557.0,19.0,18.0,122.0,4.0,17.0,13.0
hsa-miR-1-5p,16.5,16.5,7.0,54.0,16.5,13.0,3.0,16.0,4.0,253.0,1534.0,557.0,19.0,16.5,122.0,4.0,17.0,13.0
hsa-miR-100-5p,281.0,896.0,246.0,1299.0,624.0,834.0,55.0,203.0,111.0,2127.0,14483.0,1233.0,2038.0,4145.0,237.0,796.0,3898.0,58.0
hsa-miR-101-2-5p,1569.0,4230.0,1229.0,2536.0,1093.0,6672.0,35.0,616.0,93.0,6117.0,26915.0,10146.0,6314.0,3447.0,1055.0,3742.0,11465.0,105.0
