miRNA,advanced adenoma plasma EV 1,advanced adenoma plasma EV 2,advanced adenoma plasma EV 3,advanced adenoma plasma EV 4,advanced adenoma plasma EV 5,advanced adenoma plasma EV 6,colorectal cacer  plasma EV 1,colorectal cacer  plasma EV 2,colorectal cacer  plasma EV 3,colorectal cacer  plasma EV 4,colorectal cacer  plasma EV 5,colorectal cacer  plasma EV 6,healthy donor plasma EV  1,healthy donor plasma EV  2,healthy donor plasma EV  3,healthy donor plasma EV  4,healthy donor plasma EV  5,healthy donor plasma EV  6
hsa-let-7a-5p,20352,50386,5512,45354,17859,57602,2270,12413,39404,15541,41191,209730,36176,43326,21820,19963,33538,3372
hsa-let-7c-5p,1208,4332,399,3010,786,3634,53,690,1205,774,2803,,2807,3767,1413,1340,2504,153
hsa-let-7e-5p,439,646,194,568,215,1431,13,261,410,463,1109,2406,666,954,342,527,491,29
hsa-let-7f-5p,2955,8517,761,7551,1788,7080,1695,1692,4693,1559,4588,88569,7319,9026,6832,2656,5977,1517
hsa-let-7g-5p,2505,14454,1201,11817,2198,4189,1000,1863,7849,2524,7208,30297,6745,5935,2920,4728,14714,1000
hsa-let-7i-5p,17954,289383,15420,431443,45496,28547,1040,17401,101345,18986,58585,134659,61843,68971,49531,51845,130776,1961
hsa-miR-1-3p,,,7,142,,14,3,19,4,253,1533,557,19,,122,4,17,13
hsa-miR-1-5p,,,7,54,,13,3,16,4,253,1534,557,19,,122,4,17,13
hsa-miR-100-5p,281,896,246,1299,624,834,55,203,111,2127,14483,1233,2038,4145,237,796,3898,58
hsa-miR-101-2-5p,1569,4230,1229,2536,1093,6672,35,616,93,6117,26915,10146,6314,3447,1055,3742,11465,105
hsa-miR-101-5p,1560,4111,1199,2533,1095,6707,33,587,92,5943,26436,9813,6281,3309,1055,3658,11385,102
hsa-miR-10395-5p,,,,,,,,,,,2,,,,,,,
hsa-miR-10398-5p,,,,30,79,,,3,,,2,,,,,1,,
hsa-miR-10399-5p,,25,,,,,2,,,,,83,,,,,,
hsa-miR-103a-1-5p,2234,4265,721,5811,1274,1695,52,712,492,2086,5973,4058,5532,3338,1843,1759,7050,238
hsa-miR-103a-2-5p,2234,4265,721,5811,1274,1695,52,712,491,2086,5973,4139,5532,3338,1843,1759,7050,240
hsa-miR-103a-3p,2234,4265,721,5811,1274,1695,52,712,492,2086,5973,4058,5532,3338,1843,1759,7050,238
hsa-miR-10401-5p,,,110,,,,,115,170,,,,,,5995,40,,
hsa-miR-105-5p,,,,,,,,,,,16,,,,,,,
hsa-miR-10524-5p,,,,,,,,,,,,,,,,,7,
hsa-miR-10527-5p,17,57,30,153,1,,,46,24,91,161,1,41,103,,26,63,8
hsa-miR-106a-5p,,31,43,,,89,2,56,8,148,274,331,77,231,,17,108,5
hsa-miR-106b-5p,1048,2152,671,2682,788,3821,50,978,882,1634,3212,4284,3522,3344,1129,1282,5082,250
hsa-miR-107,2116,3299,558,5148,1031,1642,9,482,180,1815,5036,1312,4957,2779,1601,1373,6097,173
hsa-miR-10a-5p,4215,2566,2537,1909,2208,5745,88,3312,1116,26103,74936,9632,10238,10313,3097,4599,9935,302
hsa-miR-10b-5p,7351,4169,1706,3505,2234,10400,251,3416,1152,35149,144791,16049,9542,11232,4613,3963,9716,617
hsa-miR-11400,23,38,90,40,142,46,6,19,159,58,24,204,75,390,72,26,152,5
hsa-miR-11401,85,254,46,,,4,2,34,28,82,450,6,398,182,15,80,355,8
hsa-miR-1180-5p,995,1639,647,3339,629,2162,,900,220,1884,4621,3822,4194,3296,1510,1017,2864,87
hsa-miR-1185-5p,,,5,,,1,,2,,5,,,,,,,10,
hsa-miR-1193,,,,,,,,2,,,,,,,,,,
hsa-miR-1197,,,,,,,,,,3,,,,,,,,
hsa-miR-12114,,,,,,,,,,,4,,,,,,,
hsa-miR-12129,,,,,,,,,,6,,,,,,,,
hsa-miR-12136,,,,,,,,,,,,,,236,113,,,
hsa-miR-122-5p,97884,211288,28803,75574,106763,71124,54,17555,6421,108150,572348,85751,351674,504298,45667,131852,345920,519
hsa-miR-1226-5p,,,,,,,,,,,3,,,,,,,
hsa-miR-1228-5p,2171,347,32,613,1429,3552,9,36,21,93,93,68,370,1441,1375,124,140,
hsa-miR-1229-3p,,,,,,172,2,,4,,,,,,34,8,,
hsa-miR-1229-5p,,,,,,172,2,,4,,,,,,34,8,,
hsa-miR-122b-5p,,,,,,,,,1,6,24,,,30,,,7,
hsa-miR-1234-3p,,,,,,,,2,,,,,,,,,,
hsa-miR-1238-5p,,,6,,,,,2,,2,,,,32,,6,,
hsa-miR-1245b-5p,,,,,,,,,,,6,,,,,,,
hsa-miR-1247-5p,,,,,,,,2,1,2,27,,,,,2,,
hsa-miR-1249-5p,,,1,,,,3,1,,,,,,,,,,
hsa-miR-1250-5p,,140,6,,,2,,4,12,20,12,,62,56,,9,70,
hsa-miR-1252-5p,,,,,,,,,,,3,,,,,,,
hsa-miR-1255a,,,,,,,,,,19,22,,,61,,,,
hsa-miR-1258,,,,,,,,,,,16,,,170,,,,
hsa-miR-125a-5p,1027,729,1598,1135,1560,3092,19,1351,762,6193,14968,1187,3843,2852,1077,1226,919,50
hsa-miR-125b-5p,314,838,578,808,82,1900,12,555,347,4132,23886,1326,3314,6579,423,1600,1637,82
hsa-miR-126-5p,,19455,,,,,,,,19452,67205,,,,,18188,,5148
hsa-miR-1260b,,,27,,,3,,,38,,,,40,60,98,17,69,
hsa-miR-1262,,,,,,,,,,,24,,,,,2,4,
hsa-miR-1265,,,,,,,,,,,,,4,,,,,
hsa-miR-127-5p,421,1242,273,9719,338,408,28,482,1902,367,460,1108,841,1470,439,1138,2135,23
hsa-miR-1270,,,4,,,,,2,2,1,3,,10,,,,3,
hsa-miR-1271-5p,,,2,,,2,,2,4,8,31,1,2,,,8,8,7
hsa-miR-1273c,,,,90,,,,,4,,20,,,,,14,27,128
hsa-miR-1273h-5p,,172,156,,,,,215,,,,,,,,,585,
hsa-miR-1275,,,,,,,,,,,,,,,,,11,
hsa-miR-1276,,,,,,,,,,,,,,10,,,7,
hsa-miR-1277-5p,,,,,,,,,,,58,,,,,,33,
hsa-miR-1278,,,,,,,,3,,7,22,172,,,,3,15,
hsa-miR-128-1-5p,3436,3708,1901,3672,2207,5079,45,1884,963,5105,18318,36794,9906,8453,3705,2603,4914,253
hsa-miR-128-2-5p,3169,3384,1517,2984,1764,4415,23,1339,555,4548,16771,19520,8954,7437,2901,2136,4149,197
hsa-miR-1281,8,,1,,,,,,,,3,,,,,,,
hsa-miR-1284,,89,2,,,,,5,,14,39,67,18,,,1,7,
hsa-miR-1287-5p,72,61,3,47,119,,1,21,5,27,61,,11,79,,40,73,
hsa-miR-1288-5p,,25,5,,,46,,3,4,9,35,,13,,,12,8,
hsa-miR-1289,,,,,,,,4,,,,,,,,,,
hsa-miR-129-5p,152,122,44,,,198,,19,24,138,774,,212,94,197,60,102,10
hsa-miR-1291,,127,,,,,,3,,23,,,,,,1,,
hsa-miR-1292-5p,215,95,55,458,,,,101,,151,217,3,287,289,53,69,235,7
hsa-miR-1293,,,,,,,,,,,4,,,,,,,
hsa-miR-1294,2,274,14,146,,124,,50,32,64,384,16,122,244,,102,132,6
hsa-miR-1295a,,,,,,,,,,1,4,,,14,,,,
hsa-miR-1295b-5p,,,,,,,,,,,,,,,,2,,
hsa-miR-1296-5p,,,,,,,,3,4,,3,,10,,,3,10,
hsa-miR-1298-5p,,,2,,,168,4,2,,2,438,2,,,,10,12,
hsa-miR-1299,,69,32,,,,,,,64,287,828,147,,,,6881,
hsa-miR-1301-5p,33,286,101,601,1,95,,193,395,85,249,240,234,353,89,212,409,6
hsa-miR-1304-5p,73,,37,331,,,,59,78,143,304,,193,,,49,160,
hsa-miR-1306-3p,138,206,39,316,102,2,,41,81,77,143,351,84,159,127,50,160,6
hsa-miR-1306-5p,138,,49,,102,,,44,,89,,426,,,127,,172,7
hsa-miR-1307-5p,3554,16508,2524,30454,5184,2980,42,3820,4497,2724,7480,1626,10539,14783,8812,5345,12470,242
