Geneid,GSM6202891,GSM6202893,GSM6202895,GSM6202897,GSM6202899,GSM6202901,GSM6202903,GSM6202905,GSM6202907,GSM6202909,GSM6202911,CCh1,CCh2,CCh3,CCh4,CCh5,CCh6
hsa-miR-486-5p,100826,81052,76944,41312,64616,39024,21942,392758,61168,85046,66750,3218151,1109748,761772,606730,1298594,26432
hsa-miR-423-5p,30637,34572,28138,21481,15528,25190,9028,407935,42466,56405,43318,395412,560775,388338,193207,558014,10290
hsa-miR-320a-5p,0,0,0,0,0,0,0,0,0,0,0,391848,338004,197618,57975,157512,3742
hsa-miR-122-5p,31160,138958,114110,44780,49734,50780,22160,2169532,19644,99066,4856,351674,504298,45667,131852,345920,519
hsa-miR-22-5p,205,383,236,207,160,262,45,3169,432,733,666,128834,129630,43074,54316,160580,3566
hsa-miR-148a-5p,62,79,51,27,47,77,28,408,47,206,120,93688,100292,13173,38977,194172,6484
hsa-miR-16-5p,1868642,971980,1157478,644280,1092352,789314,851944,7919918,1097522,1147031,817969,91130,40905,31749,14548,48240,439
hsa-miR-92a-1-5p,1,2,0,7,5,0,0,29,0,6,14,89963,36972,24809,12866,18389,2186
hsa-miR-92a-2-5p,0,2,0,0,0,0,0,0,0,0,0,89359,36555,24745,12668,18147,2135
hsa-let-7i-5p,252579,262570,203230,150022,110183,176984,123675,2366891,151596,295589,252689,61843,68971,49531,51845,130776,1961
hsa-miR-99a-5p,85,105,38,40,51,43,22,1343,15,266,87,50611,79485,9584,16425,48314,1344
hsa-miR-25-5p,91,99,102,7,27,19,22,1021,38,114,93,36945,19505,6875,10312,28543,2814
hsa-let-7a-5p,406634,390015,344912,287551,253348,318432,177264,4023951,436253,621519,447277,36176,43326,21820,19963,33538,3372
hsa-miR-185-5p,14438,27938,16363,12398,14416,12597,8084,172761,12816,22133,21823,30703,13733,4150,4217,13912,548
hsa-miR-378a-5p,3,19,0,9,6,9,2,169,12,6,30,28914,59324,19099,6859,35287,505
hsa-miR-30d-5p,68275,93997,74358,49394,39390,49521,24825,532915,37531,67696,61755,27855,22492,9675,8519,23932,398
hsa-miR-24-2-5p,0,16,7,5,1,0,5,28,16,12,5,27614,34258,5224,13806,49740,1226
hsa-miR-26a-5p,169042,212116,201660,143324,142625,145136,43251,1280546,120320,224548,197916,24235,38242,26246,12053,36404,7861
hsa-miR-142-5p,54795,54937,53283,46610,48775,47348,118203,637626,43430,69830,73076,14559,22580,22384,0,26654,473
hsa-miR-24-1-5p,0,0,0,7,0,0,0,24,0,0,0,13570,16308,2429,6666,24110,607
hsa-miR-21-5p,196771,265585,151433,150178,100451,135151,56986,2023232,171662,237660,238729,13357,19170,10669,10012,34737,1069
hsa-miR-484,753,986,920,710,811,841,137,7879,770,2337,1845,10740,7298,2538,2382,8146,370
hsa-miR-192-5p,2724,4904,5155,2391,2256,2398,2396,45711,1695,3146,1503,10254,9220,765,5457,10023,249
hsa-miR-10a-5p,3320,2101,1303,936,1350,884,919,10143,1770,2678,2056,10238,10313,3097,4599,9935,302
hsa-miR-181a-5p,4725,1853,5717,3446,3186,3034,637,21341,4401,18175,9438,10058,15552,3498,6290,26099,748
hsa-miR-629-5p,1208,2066,1380,902,767,987,604,19148,1281,1637,1655,10013,11259,2980,2192,8235,167
hsa-miR-128-1-5p,14,17,14,14,6,9,10,150,20,4,12,9906,8453,3705,2603,4914,253
hsa-miR-7-5p,1835,2611,1428,1278,1098,1028,2556,23677,1190,2147,1736,9840,5805,1052,3172,7976,424
hsa-miR-10b-5p,765,684,853,600,800,553,366,5091,951,806,378,9542,11232,4613,3963,9716,617
hsa-miR-128-2-5p,0,0,0,0,0,0,0,0,0,0,0,8954,7437,2901,2136,4149,197
hsa-miR-27a-5p,6,23,20,24,9,11,5,104,14,4,14,8938,22058,3370,2898,20486,796
hsa-miR-328-5p,0,0,0,0,0,0,0,0,0,0,0,8561,4866,3584,2507,1124,111
hsa-miR-146a-5p,167218,153110,121194,78388,72537,75688,155819,1685586,81207,135050,160446,8416,5832,2912,5844,21107,923
hsa-let-7f-5p,471692,504976,382342,293186,259662,283499,315211,5184050,360188,620055,491094,7319,9026,6832,2656,5977,1517
hsa-let-7g-5p,34306,37823,32558,27747,27525,28654,22420,335460,47980,60930,47744,6745,5935,2920,4728,14714,1000
hsa-miR-320d,595,2858,429,385,241,443,83,4673,2682,1168,426,6598,23849,9305,2088,5714,0
hsa-miR-140-5p,1932,2170,1699,1510,960,2034,1086,19749,2586,2921,3080,6473,5003,1660,2474,12893,571
hsa-miR-101-2-5p,0,7,6,2,1,0,0,25,8,0,2,6314,3447,1055,3742,11465,105
hsa-miR-101-5p,2,6,10,0,15,10,16,94,69,25,5,6281,3309,1055,3658,11385,102
hsa-miR-3158-5p,0,0,0,0,0,0,0,0,0,0,0,5798,2904,3952,1872,3882,114
hsa-miR-103a-1-5p,0,0,0,0,0,0,0,1,0,0,0,5532,3338,1843,1759,7050,238
hsa-miR-103a-2-5p,7,2,7,0,0,0,0,23,0,0,1,5532,3338,1843,1759,7050,240
hsa-miR-186-5p,4870,5797,5613,4554,4047,4686,5390,45776,3900,7307,7046,5233,2935,573,2549,10015,294
hsa-miR-191-5p,25791,82239,27001,28259,18187,24374,57332,376871,13170,48388,51030,5118,5761,1386,3579,12953,763
hsa-miR-532-5p,536,744,391,302,263,253,585,5837,232,399,477,4806,2802,1055,1664,5262,152
hsa-miR-363-5p,0,1,0,0,0,0,0,23,10,0,0,4598,5044,799,1238,8313,314
hsa-miR-222-5p,0,10,11,0,10,4,5,92,9,3,6,4551,4360,1786,2587,6340,112
hsa-miR-193a-5p,84,347,122,87,63,60,30,5317,108,158,78,4485,11862,2304,1417,5927,20
hsa-miR-1180-5p,0,0,0,0,0,0,0,0,0,0,0,4194,3296,1510,1017,2864,87
hsa-miR-125a-5p,12916,10078,7607,6684,6835,6201,12226,70869,7185,10361,11100,3843,2852,1077,1226,919,50
hsa-miR-221-5p,354,731,815,507,441,474,138,4921,565,990,812,3556,5084,1027,2445,7404,603
hsa-miR-106b-5p,697,489,722,575,670,592,254,4474,1219,1403,900,3522,3344,1129,1282,5082,250
hsa-miR-148b-5p,173,153,248,206,195,212,121,1914,171,317,230,3444,2807,481,1701,7824,369
hsa-miR-125b-5p,1334,1680,1010,449,702,554,859,8558,506,1278,705,3314,6579,423,1600,1637,82
hsa-miR-27b-5p,12,44,26,29,35,41,11,539,77,108,73,3058,4464,1036,806,4538,221
hsa-miR-501-5p,0,2,2,4,5,0,0,47,0,0,5,3049,2844,725,566,2231,43
hsa-miR-30e-5p,60258,65386,73003,45638,46454,47137,36832,566489,44347,59419,60608,2928,2861,1745,1104,4280,134
hsa-miR-139-5p,341,1537,649,883,333,1039,416,12440,982,708,1045,2915,2627,1275,789,2211,184
hsa-let-7c-5p,6070,4350,3871,2676,2612,2876,2164,39364,4233,7060,3517,2807,3767,1413,1340,2504,153
hsa-miR-199a-5p,3636,5579,4539,3443,2344,5383,4103,48774,5786,8675,8369,2374,4170,1060,2279,8430,1318
hsa-miR-146b-5p,5393,8554,4429,3760,3109,3303,2592,53177,2199,4142,5236,2318,2850,1001,1972,6470,140
hsa-miR-143-5p,142,60,57,64,40,61,162,749,350,118,127,2098,4733,1221,2263,7710,132
hsa-miR-100-5p,38,181,7,9,4,10,0,541,69,69,71,2038,4145,237,796,3898,58
hsa-miR-28-5p,343,451,463,382,261,385,98,4034,814,1711,1200,1992,2566,515,1494,5262,128
hsa-miR-378i,446,616,441,379,423,231,203,8966,389,793,546,1989,3817,1996,466,2473,0
hsa-miR-409-5p,222,100,76,32,33,36,91,712,122,36,85,1986,1234,1532,1755,1795,22
hsa-miR-342-5p,48,53,48,51,44,21,40,630,73,177,87,1904,2790,803,1219,4594,0
hsa-miR-15b-5p,3370,2796,2360,1882,2774,1738,2408,20568,3286,3425,3237,1716,0,404,341,0,0
hsa-miR-584-5p,16847,21828,15594,13620,7465,14988,5247,196763,19344,28867,17536,1669,888,538,852,2185,54
hsa-miR-144-5p,909,682,1058,450,1264,630,560,3514,618,662,586,1582,1797,0,344,3712,35
hsa-miR-339-5p,593,2115,699,423,301,525,480,8743,503,890,1764,1485,2219,553,612,2865,54
hsa-miR-150-5p,2409,1252,973,1117,2325,1058,1518,5820,978,1450,471,1437,2146,376,263,895,117
hsa-miR-223-5p,5181,6222,3983,2809,2183,2619,7311,52763,2509,4599,3833,1344,9545,2081,1251,4675,0
hsa-miR-550a-3-5p,12,4,5,0,9,9,6,56,3,9,13,1334,703,328,296,884,15
hsa-miR-625-5p,451,1876,454,1607,283,1645,467,19549,825,2566,871,1184,1588,230,570,234,68
hsa-miR-194-5p,1889,2069,1934,1241,1427,1004,828,36885,1419,1496,649,1129,1137,238,284,1011,44
hsa-miR-26b-5p,182359,235841,216440,130182,117802,135964,136057,1446468,140855,181645,198325,1117,1166,458,429,1311,336
hsa-miR-4433b-5p,1423,2606,2726,2396,1313,2159,443,12091,1173,1727,2169,1105,1938,5572,1326,5708,62
hsa-miR-378c,444,650,448,332,434,251,226,9163,389,788,559,1071,2685,0,233,1325,0
hsa-miR-375-5p,0,0,0,0,0,0,0,0,0,0,0,1035,2246,407,912,1249,3
hsa-miR-93-5p,46861,49949,50203,31625,34716,29515,69127,428682,27573,44360,44917,1024,489,216,298,891,115
hsa-miR-181b-5p,1028,622,1022,663,408,734,182,5652,1418,3383,1912,974,1884,172,718,3489,86
hsa-miR-23a-5p,17,30,16,23,5,23,19,356,12,63,53,942,0,0,512,1746,380
hsa-miR-1843,290,433,410,324,255,344,110,3591,259,570,564,874,972,82,587,1892,44
hsa-miR-134-5p,7351,2259,2183,484,429,603,3789,28328,4282,1402,2505,868,958,280,586,1469,14
hsa-miR-127-5p,85,26,19,11,0,0,52,264,12,14,18,841,1470,439,1138,2135,23
hsa-miR-130b-5p,300,415,549,258,429,377,69,4012,459,1039,868,792,316,213,254,482,12
hsa-miR-660-5p,406,485,400,283,277,340,330,4756,291,413,377,790,697,17,177,705,62
hsa-miR-424-5p,126,410,565,661,573,582,621,5241,774,139,413,765,486,0,221,857,22
hsa-miR-345-5p,98,210,150,89,76,92,72,1353,166,162,209,749,1351,241,238,1492,32
hsa-miR-370-5p,16,5,6,3,0,8,27,0,0,8,8,688,1091,1306,804,1394,15
hsa-miR-199b-5p,103,169,68,78,94,125,174,1151,85,83,141,677,1196,439,580,2381,635
hsa-miR-183-5p,1849,1816,888,432,847,467,491,4107,749,1508,440,673,414,295,63,1151,32
hsa-let-7e-5p,15241,8709,8815,9226,7722,10259,10405,119889,22192,20543,18218,666,954,342,527,491,29
hsa-miR-29a-5p,20,31,12,0,33,27,4,189,1,67,27,646,1317,865,301,2050,37
hsa-miR-19b-1-5p,11,11,19,8,2,8,0,117,8,63,43,612,429,0,282,1031,24
hsa-miR-19b-2-5p,0,0,0,0,0,0,0,0,0,0,0,612,429,0,280,1026,24
hsa-miR-17-5p,4902,6749,5941,6233,3988,6898,4192,76902,9319,16625,14200,597,443,0,469,1163,102
hsa-miR-1908-5p,330,645,431,290,310,196,179,4265,409,336,612,550,1895,164,513,892,10
hsa-miR-30c-5p,1691,3640,2484,2579,2497,2278,4154,30920,2538,5000,5114,530,731,244,328,808,493
hsa-miR-20a-5p,12606,16939,14959,14700,14695,15349,5597,156723,17489,27085,28116,518,335,325,212,539,38
hsa-miR-483-5p,257,529,428,173,199,241,91,18410,89,285,87,508,4590,1104,351,1101,0
hsa-miR-210-5p,2,1,0,0,1,0,0,0,0,0,1,504,374,100,122,646,8
hsa-miR-182-5p,5234,2679,2565,858,1931,1124,1252,7427,1406,1765,1202,492,277,250,52,1448,66
hsa-miR-193b-5p,8,61,29,17,13,1,3,2065,17,33,7,489,1573,169,191,409,0
hsa-miR-361-5p,2484,5160,3598,2858,2337,2580,1609,35511,2411,4604,5622,480,1549,319,823,2821,0
hsa-miR-18a-5p,1509,2077,1980,1934,1220,2265,607,16584,2286,3287,3111,441,333,67,76,135,0
hsa-miR-98-5p,6480,7675,6091,6661,5547,7170,2074,80968,10850,14418,9706,423,621,1077,559,941,39
hsa-miR-19a-5p,3,3,3,0,0,0,0,0,0,5,2,421,232,0,204,664,9
hsa-miR-432-5p,30548,7680,8173,2097,923,2193,11440,84061,4815,6277,6892,421,287,235,373,454,0
hsa-miR-330-5p,19,80,58,74,50,86,10,694,99,146,169,420,769,217,312,676,31
hsa-miR-500a-5p,3,2,0,7,0,0,0,0,0,8,4,413,355,13,63,328,23
hsa-miR-11401,14,2,9,10,0,9,10,0,0,3,5,398,182,15,80,355,8
hsa-miR-671-5p,353,643,283,258,247,260,53,3847,454,836,388,380,252,476,131,211,0
hsa-miR-1228-5p,0,0,0,0,0,4,0,0,2,0,0,370,1441,1375,124,140,0
hsa-miR-942-5p,615,840,646,472,264,411,322,6258,310,610,646,354,254,140,144,454,13
hsa-miR-502-5p,0,0,0,2,0,0,0,0,0,0,0,353,323,25,53,317,23
hsa-miR-215-5p,128,138,129,93,128,166,56,1426,288,149,90,351,704,118,293,434,10
hsa-miR-511-5p,0,2,0,0,0,5,9,0,4,11,7,344,898,84,199,300,12
hsa-miR-382-5p,22079,5210,6682,1616,1041,2221,6978,43713,10112,2928,5904,341,157,91,338,621,10
hsa-miR-485-5p,572,119,196,38,32,63,94,1501,266,74,140,316,431,77,223,228,0
hsa-miR-1292-5p,36,56,39,52,39,41,21,605,53,96,47,287,289,53,69,235,7
hsa-miR-548av-5p,0,0,0,0,0,0,0,0,0,0,0,280,128,0,45,125,24
hsa-miR-152-5p,4,0,1,6,1,5,0,16,0,0,0,276,236,100,131,1073,50
hsa-miR-769-5p,174,170,269,119,113,149,120,1857,100,227,253,275,542,210,121,453,9
hsa-miR-145-5p,142,165,95,210,108,110,183,1366,400,290,484,273,644,289,182,580,18
hsa-miR-505-5p,148,207,144,227,100,188,181,2408,253,564,398,273,128,203,87,218,16
hsa-miR-589-5p,102,181,105,99,75,88,109,1910,46,155,215,259,136,131,60,323,7
hsa-miR-340-5p,6591,6259,7100,6390,7732,6550,7477,67090,5001,8693,7867,256,532,265,229,629,28
hsa-miR-331-5p,3,16,3,12,16,15,34,46,5,19,13,252,123,77,59,167,12
hsa-miR-4429,3,19,3,3,2,4,1,49,26,12,2,242,280,162,24,81,0
hsa-miR-1301-5p,0,0,0,0,0,0,0,0,0,0,0,234,353,89,212,409,6
hsa-miR-224-5p,5825,3086,5682,11846,3500,13930,5882,28370,4044,1753,4703,231,191,0,110,353,20
hsa-miR-129-5p,5,5,3,0,5,2,7,26,0,0,4,212,94,197,60,102,10
hsa-miR-204-5p,5,52,60,123,12,102,21,320,61,26,33,208,650,233,181,314,4
hsa-miR-1304-5p,0,6,0,0,0,0,0,0,0,0,8,193,0,0,49,160,0
hsa-miR-664a-5p,1462,1379,1123,674,479,711,895,13080,633,1280,1147,183,436,24,80,204,0
hsa-miR-3913-5p,47,31,21,14,5,23,27,131,24,12,30,182,166,0,128,426,32
hsa-miR-4446-5p,0,4,0,4,0,0,0,30,9,9,5,176,519,144,210,389,4
hsa-miR-7976,30,29,35,13,43,18,41,162,34,48,26,175,0,14,27,113,3
hsa-miR-654-5p,5,0,0,0,0,0,0,0,0,3,2,164,162,35,243,530,5
hsa-miR-548au-5p,92,179,177,83,151,97,45,1271,139,244,152,152,156,0,0,211,14
hsa-miR-6852-5p,224,452,331,278,203,191,201,3830,172,405,486,150,45,0,64,348,0
hsa-miR-195-5p,480,389,213,238,159,216,109,2343,287,417,159,139,66,0,22,77,4
hsa-miR-6815-5p,0,0,0,0,1,0,0,0,0,0,0,134,112,108,30,50,0
hsa-miR-652-5p,1,12,5,16,1,11,7,157,14,44,8,125,332,23,197,1142,19
hsa-miR-96-5p,166,85,39,29,84,24,17,486,30,119,38,123,39,0,17,385,13
hsa-miR-197-5p,11,20,13,6,10,35,14,271,26,77,11,119,116,49,59,45,47
hsa-miR-381-5p,0,0,2,0,0,0,0,18,3,0,3,114,147,0,242,609,13
hsa-miR-4467,2,2,0,3,0,0,0,0,6,0,0,112,0,0,0,53,0
hsa-miR-362-5p,3,45,16,11,5,16,4,366,43,37,78,110,85,0,17,9,0
hsa-miR-200a-5p,0,0,7,15,0,0,0,0,10,0,0,109,160,0,66,135,0
hsa-miR-323b-5p,0,0,0,0,0,0,0,0,0,0,0,107,0,0,14,71,7
hsa-miR-338-5p,0,5,0,3,0,9,0,115,0,9,6,107,266,0,73,156,15
hsa-miR-4746-5p,2,1,12,0,2,2,9,0,0,3,5,106,28,0,12,96,0
hsa-miR-155-5p,7346,8688,6935,3940,3907,4070,2445,55669,4194,8567,5834,103,288,163,41,104,27
hsa-miR-493-5p,1996,582,608,141,106,153,167,3958,318,338,498,102,212,114,159,431,11
hsa-miR-642a-5p,1,2,0,5,0,0,0,28,5,0,0,102,514,429,26,71,0
hsa-miR-874-5p,1,2,3,0,9,0,0,10,0,1,5,101,50,0,38,86,2
hsa-miR-1976,5,0,2,0,0,0,0,29,10,0,0,98,184,0,24,64,0
hsa-miR-503-5p,33,204,156,150,96,169,149,2519,157,27,130,98,64,0,44,236,0
hsa-miR-450a-5p,0,8,2,10,12,9,0,153,7,3,0,96,399,0,102,368,34
hsa-miR-130a-5p,0,3,4,6,0,0,0,29,0,3,0,94,145,148,90,312,19
hsa-miR-6877-5p,8,16,16,4,7,0,3,68,10,17,23,89,45,0,13,38,2
hsa-miR-133a-5p,0,0,0,0,0,0,0,27,0,0,0,84,0,0,66,482,70
hsa-miR-181d-5p,129,79,209,74,80,91,31,571,79,654,239,82,348,0,156,416,8
hsa-miR-3120-5p,3,3,0,0,0,0,2,21,0,0,3,82,96,0,41,0,0
hsa-miR-4665-5p,6,8,14,5,2,0,12,158,9,0,6,80,107,4,25,18,0
