Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-let-7a-5p,1588565,2903106,591036,3024031,718086,24070,47294,989468,929682,43465,809239,30826,581223,55347,147465,713981,353253,941010,625915,160094,618605,767726,764838,651806,271691
hsa-let-7a-3p,23,45,51,47,39,0,1,0,24,0,59,2,5,4,6,13,13,26,11,9,18,8,9,0,3
hsa-let-7a-2-3p,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,3,1,3,1,0,1,0,0,0,15
hsa-let-7b-5p,419140,566681,124319,702389,284800,6276,16922,196553,226156,15556,680974,26569,194499,10900,38553,122915,119183,172260,267877,32397,235236,133260,162730,417907,90298
hsa-let-7b-3p,96,103,23,258,70,0,2,12,53,6,259,14,41,10,21,23,48,67,61,19,47,66,76,62,36
hsa-let-7c-5p,8319,12793,8836,20900,4215,172,220,3796,5167,347,5393,350,5399,230,688,3987,3097,5634,4935,881,4028,4931,4816,3553,1560
hsa-let-7c-3p,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,0,1,4,6,0,1,3,1,0,0
hsa-let-7d-5p,490802,878508,209269,956955,180332,2693,8963,147242,279402,15345,245425,9252,171776,21794,49949,232141,113578,287931,188381,47443,181395,211532,218933,178175,83381
hsa-let-7d-3p,2401,3838,1291,4212,1112,2,18,264,1221,65,2617,63,1142,212,286,1202,1119,1653,1207,263,962,1268,1263,1129,338
hsa-let-7e-5p,50092,55619,13928,137365,18505,393,596,35037,26254,1067,8054,510,16693,1803,4483,24360,6078,18247,14117,3152,10213,35060,17659,11084,3811
hsa-let-7e-3p,18,16,22,73,4,0,0,1,14,0,20,0,8,12,1,17,12,25,14,0,4,4,12,0,0
hsa-let-7f-5p,1530229,2939313,559427,2803761,587698,13577,35046,699984,781862,23984,562545,19841,356956,53746,128578,569386,269792,900689,462977,142423,475266,660121,595126,467225,207285
hsa-let-7f-1-3p,39,49,38,97,31,0,0,3,30,2,102,0,5,5,8,22,22,55,15,3,32,18,9,18,8
hsa-let-7f-2-3p,75,134,27,156,35,1,1,7,57,5,57,2,39,15,1,29,56,89,13,23,20,32,16,18,30
hsa-miR-15a-5p,49134,64963,30421,96204,38214,55,279,1736,16397,850,112237,3868,11677,5793,3335,7168,11498,29155,20061,5347,21888,10992,11071,15149,8710
hsa-miR-15a-3p,52,140,51,134,32,0,0,0,19,0,66,1,12,10,4,15,8,51,16,13,16,24,23,5,13
