Geneid,SRR23922124,SRR23922115,SRR23922116,SRR23922117,SRR23922118,SRR23922119,SRR23922120,SRR23922121,SRR23922122,SRR23922123,SRR23922134,SRR23922125,SRR23922126,SRR23922127,SRR23922128,SRR23922129,SRR23922130,SRR23922131,SRR23922132,SRR23922133
hsa-let-7a-5p,83,49,48,53,31,66,80,89,125,126,62,109,73,68,46,67,85,88,72,47
hsa-let-7b-5p,84,53,32,32,33,59,68,96,115,116,62,72,59,40,40,86,72,119,48,51
hsa-let-7c-5p,23,13,13,14,12,17,12,20,32,28,11,20,15,18,14,21,18,29,23,13
hsa-let-7d-5p,39,14,14,22,9,27,27,31,53,60,14,36,19,27,9,21,42,35,21,8
hsa-let-7e-5p,6,6,5,5,1,12,2,13,23,17,3,9,5,7,3,6,13,6,4,4
hsa-let-7f-5p,48,21,21,42,12,44,33,51,87,80,35,75,52,30,28,35,66,62,40,23
hsa-let-7g-5p,38,31,18,15,10,33,42,40,71,75,36,70,58,18,24,30,50,57,35,22
hsa-let-7i-5p,30,25,17,33,9,20,17,32,54,68,20,73,30,24,19,34,51,78,28,28
hsa-miR-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-100-5p,1,1,1,0,1,1,1,1,5,3,13,1,0,2,1,7,6,8,15,23
hsa-miR-101-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-101-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10393-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10393-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10394-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10395-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10397-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10398-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10398-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10399-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10399-3p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
hsa-miR-103a-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-103a-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-103b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10400-5p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10400-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10401-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10401-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10522-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10523-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10524-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10525-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10526-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10527-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106b-5p,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0
hsa-miR-10a-5p,11,6,4,1,0,5,6,14,37,35,17,21,5,11,6,16,13,14,8,12
hsa-miR-10b-5p,9,6,4,4,1,6,2,11,21,24,4,19,8,6,5,8,11,9,3,3
hsa-miR-11181-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-11181-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-11399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-11400,0,0,1,2,1,0,0,0,3,4,0,4,0,1,0,0,0,2,1,0
hsa-miR-11401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1178-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1180-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1185-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hsa-miR-1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1199-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
