miRNA,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
hsa-let-7a-5p,24070,47294,989468,929682,809239,30826,581223,713981,353253,941010,625915,160094,618605,767726,764838,651806,271691
hsa-let-7a-3p,0,1,0,24,59,2,5,13,13,26,11,9,18,8,9,0,3
hsa-let-7a-2-3p,0,1,2,1,0,0,0,3,1,3,1,0,1,0,0,0,15
hsa-let-7b-5p,6276,16922,196553,226156,680974,26569,194499,122915,119183,172260,267877,32397,235236,133260,162730,417907,90298
hsa-let-7b-3p,0,2,12,53,259,14,41,23,48,67,61,19,47,66,76,62,36
hsa-let-7c-5p,172,220,3796,5167,5393,350,5399,3987,3097,5634,4935,881,4028,4931,4816,3553,1560
hsa-let-7c-3p,0,0,0,0,3,0,3,0,1,4,6,0,1,3,1,0,0
hsa-let-7d-5p,2693,8963,147242,279402,245425,9252,171776,232141,113578,287931,188381,47443,181395,211532,218933,178175,83381
hsa-let-7d-3p,2,18,264,1221,2617,63,1142,1202,1119,1653,1207,263,962,1268,1263,1129,338
hsa-let-7e-5p,393,596,35037,26254,8054,510,16693,24360,6078,18247,14117,3152,10213,35060,17659,11084,3811
hsa-let-7e-3p,0,0,1,14,20,0,8,17,12,25,14,0,4,4,12,0,0
hsa-let-7f-5p,13577,35046,699984,781862,562545,19841,356956,569386,269792,900689,462977,142423,475266,660121,595126,467225,207285
hsa-let-7f-1-3p,0,0,3,30,102,0,5,22,22,55,15,3,32,18,9,18,8
hsa-let-7f-2-3p,1,1,7,57,57,2,39,29,56,89,13,23,20,32,16,18,30
hsa-miR-15a-5p,55,279,1736,16397,112237,3868,11677,7168,11498,29155,20061,5347,21888,10992,11071,15149,8710
hsa-miR-15a-3p,0,0,0,19,66,1,12,15,8,51,16,13,16,24,23,5,13
hsa-miR-16-5p,18838,49228,549587,1190485,5808970,186634,959241,886179,751333,2486395,2720196,462189,2866960,1634374,1673571,2204476,833102
hsa-miR-16-1-3p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
hsa-miR-17-5p,45,72,1702,5904,10885,249,3478,6171,5119,8217,6001,1591,3466,4512,3821,2846,1409
hsa-miR-17-3p,30,65,1162,3257,4966,180,950,1410,838,2813,2083,540,1500,2563,2071,765,476
hsa-miR-18a-5p,30,58,1509,3705,7725,147,2559,3699,2748,7576,5426,1930,4054,5338,4184,2183,1117
hsa-miR-18a-3p,0,0,3,10,33,1,3,4,11,8,21,2,2,7,5,0,0
hsa-miR-19a-5p,0,0,0,2,0,0,1,0,0,7,3,0,0,0,0,0,0
hsa-miR-19a-3p,0,0,6,206,367,12,67,80,93,367,83,37,47,65,29,23,9
